;street_view_image_url;types_of_zones_80pct_confidence;building_styles_80pct_confidence;condition_score;natural_light;image_caption
17;https://maps.googleapis.com/maps/api/streetview?location=18+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house, outdoor building;not single family, italianate, unfinished, manufactured  mobile, pueblo revival;4.2;False;view of front of house
18;https://maps.googleapis.com/maps/api/streetview?location=19+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;italianate;;False;view of property with french doors
19;https://maps.googleapis.com/maps/api/streetview?location=20+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;no distinct style, manufactured  mobile, art deco, not single family, colonial;3.1;False;view of front of property
20;https://maps.googleapis.com/maps/api/streetview?location=21+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;italianate, mediterranean  spanish, no distinct style, french country, not single family;5.1;False;view of front of house
21;https://maps.googleapis.com/maps/api/streetview?location=22+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;view of street, outdoor building, front house, community sign, basketball court;not single family, french country, italianate, oriental, unfinished;;False;view of road
22;https://maps.googleapis.com/maps/api/streetview?location=23+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;mediterranean  spanish, pueblo revival, french country, not single family, cape cod;;False;view of front of property
23;https://maps.googleapis.com/maps/api/streetview?location=24+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house, view of street, community sign, parking, basketball court;obstructed view, french country, not single family, manufactured  mobile, oriental;;False;view of front of property
24;https://maps.googleapis.com/maps/api/streetview?location=25+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, italianate, french country, manufactured  mobile, pueblo revival;;False;view of property
25;https://maps.googleapis.com/maps/api/streetview?location=26+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house, outdoor building, parking, view of street, community sign;italianate, mediterranean  spanish, unfinished, french country, obstructed view;;False;view of front facade
26;https://maps.googleapis.com/maps/api/streetview?location=27+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, front house, community sign;italianate, mediterranean  spanish, victorian, french country, no distinct style;;False;view of building exterior
27;https://maps.googleapis.com/maps/api/streetview?location=28+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, front house;italianate, unfinished, french country, mediterranean  spanish, no distinct style;;False;view of property
28;https://maps.googleapis.com/maps/api/streetview?location=29+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, manufactured  mobile, contemporary, unfinished, art deco;;False;view of property
29;https://maps.googleapis.com/maps/api/streetview?location=30+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;parking, front house, outdoor building, view of street, corridor;french country, italianate, obstructed view, no distinct style, not single family;;False;view of car parking
30;https://maps.googleapis.com/maps/api/streetview?location=31+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;yard, front house, patio terrace, basketball court;no distinct style, manufactured  mobile, not single family, split level, obstructed view;;False;view of yard
31;https://maps.googleapis.com/maps/api/streetview?location=32+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house, parking, yard;obstructed view, mediterranean  spanish, french country, italianate, ranch;;False;view of front of property
32;https://maps.googleapis.com/maps/api/streetview?location=33+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;mediterranean  spanish, italianate, victorian, manufactured  mobile, french country;4.7;False;view of front of house
33;https://maps.googleapis.com/maps/api/streetview?location=34+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;parking;mediterranean  spanish, manufactured  mobile, obstructed view, french country, raised beach house;;False;view of car parking
34;https://maps.googleapis.com/maps/api/streetview?location=35+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;community sign, basketball court, community, front house, playground;italianate, obstructed view, not single family, mediterranean  spanish, tudor;;False;view of community sign
35;https://maps.googleapis.com/maps/api/streetview?location=36+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, neoclassical  greek, italianate, art deco;;False;view of building exterior
36;https://maps.googleapis.com/maps/api/streetview?location=37+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;italianate, not single family, no distinct style;3.8;False;view of front of house
