;street_view_image_url;types_of_zones_80pct_confidence;building_styles_80pct_confidence;condition_score;natural_light;image_caption
14;https://maps.googleapis.com/maps/api/streetview?location=174+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, front house, garage, view of street, exterior entry;not single family;;False;view of building exterior
15;https://maps.googleapis.com/maps/api/streetview?location=175+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, mediterranean  spanish, italianate, french country, pueblo revival;;False;view of building exterior
16;https://maps.googleapis.com/maps/api/streetview?location=176+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
17;https://maps.googleapis.com/maps/api/streetview?location=177+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;french country, not single family, italianate, mediterranean  spanish, victorian;;False;view of building exterior
18;https://maps.googleapis.com/maps/api/streetview?location=178+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house, outdoor building, exterior entry;not single family, french country, victorian, italianate, manufactured  mobile;5.5;False;view of front of home
19;https://maps.googleapis.com/maps/api/streetview?location=179+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, french country;;False;view of building exterior
20;https://maps.googleapis.com/maps/api/streetview?location=180+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, italianate, french country, victorian, split level;;False;view of building exterior
21;https://maps.googleapis.com/maps/api/streetview?location=181+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;italianate, not single family, victorian, french country, raised beach house;;False;view of property
22;https://maps.googleapis.com/maps/api/streetview?location=182+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of building exterior
23;https://maps.googleapis.com/maps/api/streetview?location=183+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, parking;not single family;;False;view of property
24;https://maps.googleapis.com/maps/api/streetview?location=184+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
25;https://maps.googleapis.com/maps/api/streetview?location=185+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of building exterior
26;https://maps.googleapis.com/maps/api/streetview?location=186+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
27;https://maps.googleapis.com/maps/api/streetview?location=187+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
28;https://maps.googleapis.com/maps/api/streetview?location=188+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, view of street, parking, community, garage;italianate, not single family, victorian, oriental;;False;view of property
29;https://maps.googleapis.com/maps/api/streetview?location=189+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of building exterior
30;https://maps.googleapis.com/maps/api/streetview?location=190+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;unfinished, oriental, contemporary, victorian, not single family;;False;view of building exterior
